datum,žák,předmět,známka
27.2.,Arabela,Grafika,1
8.2.,Ferda,Čtení,1
18.4.,Karkulka,Psaní,1
1.4.,Tuček,Zeměpis,1
1.4.,Šlajs,Zeměpis,1
28.4.,Nemo,Tělocvik,1
14.3.,Zvonilka,Programování,1
4.6.,Rusalka,Matematika,1
9.6.,Drsoň,Zpěv,2
15.5.,Krakonoš,Programování,2
12.6.,Karkulka,Programování,1
7.2.,Nemo,Tělocvik,3
15.4.,Fantomas,Grafika,1
4.2.,Široký,Zpěv,2
22.2.,Bobek,Tělocvik,3
24.3.,Šebestová,Psaní,1
20.6.,Tom,Psaní,2
25.5.,Bystrozraký,Grafika,1
4.3.,Pažout,Tělocvik,4
10.5.,Rumcasj,Psaní,2
13.6.,Gump,Psaní,3
2.6.,Dlouhý,Programování,2
19.5.,Dlouhý,Programování,3
28.4.,Ferda,Zeměpis,2
7.3.,Krátkozraký,Programování,1
20.3.,Nemo,Matematika,1
20.6.,Jerry,Tělocvik,2
28.3.,Nemo,Programování,1
14.3.,Karkulka,Čtení,1
16.4.,Zvonilka,Čtení,1
25.2.,Tom,Čtení,3
13.3.,Rumcasj,Tělocvik,1
22.3.,Mach,Grafika,1
13.3.,Gump,Programování,2
12.2.,Arabela,Programování,1
15.5.,Krátkozraký,Zeměpis,1
28.2.,Krátkozraký,Grafika,1
13.4.,Bobek,Tělocvik,2
6.2.,Jerry,Matematika,2
28.4.,Krátkozraký,Tělocvik,1
25.4.,Krakonoš,Čtení,1
6.5.,Bystrozraký,Matematika,2
13.4.,Karkulka,Matematika,1
10.3.,Dlouhý,Zeměpis,1
17.6.,Bystrozraký,Zeměpis,1
11.2.,Jerry,Matematika,2
15.4.,Nemo,Zeměpis,1
20.3.,Šebestová,Programování,2
12.3.,Bobek,Psaní,1
25.3.,Pažout,Psaní,5
9.6.,Drsoň,Matematika,2
20.5.,Arabela,Zpěv,1
27.2.,Pažout,Matematika,3
3.5.,Tuček,Zeměpis,4
3.5.,Šlajs,Zeměpis,4
2.6.,Krakonoš,Čtení,1
25.4.,Popelka,Zpěv,2
4.5.,Pažout,Čtení,5
17.4.,Bystrozraký,Grafika,1
1.3.,Bystrozraký,Zpěv,1
26.3.,Gump,Zpěv,1
11.3.,Dlouhý,Čtení,1
20.3.,Fantomas,Matematika,3
7.2.,Ferda,Matematika,1
28.4.,Široký,Zeměpis,1
27.3.,Jerry,Zeměpis,2
4.2.,Rumcasj,Čtení,3
8.3.,Jerry,Programování,2
1.2.,Popelka,Čtení,1
8.2.,Šebestová,Psaní,2
5.6.,Gump,Zeměpis,1
15.5.,Rumcasj,Grafika,4
27.2.,Zvonilka,Zpěv,1
26.4.,Šebestová,Tělocvik,1
28.5.,Bob,Psaní,2
27.5.,Tuček,Matematika,1
27.5.,Šlajs,Matematika,1
13.3.,Mach,Grafika,3
24.5.,Fantomas,Zpěv,1
4.4.,Tuček,Zeměpis,3
4.4.,Šlajs,Zeměpis,3
19.3.,Ferda,Grafika,1
26.4.,Nemo,Čtení,1
25.4.,Karkulka,Tělocvik,1
9.6.,Jasoň,Programování,1
22.3.,Jasoň,Programování,1
3.3.,Bystrozraký,Programování,1
1.3.,Horáček,Psaní,4
7.2.,Karkulka,Čtení,1
12.6.,Potter,Psaní,1
9.5.,Tom,Čtení,3
4.3.,Mach,Zpěv,1
13.5.,Potter,Čtení,1
21.4.,Bob,Psaní,3
3.4.,Fantomas,Matematika,2
14.5.,Potter,Zeměpis,1
21.2.,Ferda,Tělocvik,1
25.4.,Gump,Zeměpis,3
9.5.,Sněhurka,Zeměpis,1
22.4.,Široký,Zpěv,1
12.5.,Zvonilka,Čtení,1
28.5.,Bob,Psaní,1
23.4.,Drsoň,Zpěv,2
9.4.,Šebestová,Tělocvik,1
25.2.,Karkulka,Matematika,1
22.4.,Arabela,Matematika,1
9.5.,Tom,Čtení,1
28.5.,Široký,Tělocvik,1
21.6.,Drsoň,Zeměpis,1
15.6.,Rusalka,Zeměpis,1
20.5.,Krakonoš,Čtení,1
2.2.,Rumcasj,Zpěv,1
28.3.,Krakonoš,Zpěv,1
5.6.,Šebestová,Čtení,2
19.5.,Mach,Tělocvik,1
20.4.,Ferda,Čtení,2
11.5.,Pažout,Psaní,4
7.6.,Jerry,Programování,1
22.5.,Drsoň,Psaní,1
2.6.,Široký,Grafika,1
4.5.,Bystrozraký,Matematika,1
24.5.,Drsoň,Grafika,2
24.4.,Ferda,Grafika,1
7.5.,Zvonilka,Zeměpis,1
25.4.,Mach,Matematika,1
22.3.,Šebestová,Matematika,1
8.2.,Široký,Grafika,2
13.3.,Bystrozraký,Tělocvik,1
26.4.,Bob,Čtení,1
4.3.,Ferda,Tělocvik,2
13.2.,Mach,Tělocvik,3
17.5.,Arabela,Psaní,1
5.3.,Potter,Programování,1
16.6.,Jasoň,Tělocvik,1
23.4.,Zvonilka,Čtení,1
5.3.,Široký,Matematika,3
11.5.,Rumcasj,Tělocvik,2
14.5.,Pažout,Grafika,5
4.2.,Krátkozraký,Grafika,2
4.5.,Karkulka,Programování,1
7.5.,Drsoň,Grafika,2
15.5.,Zvonilka,Zeměpis,1
5.4.,Zvonilka,Zpěv,2
17.2.,Šebestová,Grafika,2
8.2.,Krakonoš,Tělocvik,1
23.5.,Široký,Grafika,2
15.4.,Horáček,Matematika,5
20.4.,Bystrozraký,Grafika,2
26.5.,Jasoň,Čtení,1
18.3.,Drsoň,Programování,2
15.5.,Tom,Programování,1
25.4.,Potter,Matematika,1
5.4.,Popelka,Grafika,1
16.5.,Zvonilka,Zpěv,2
2.4.,Rumcasj,Matematika,1
5.4.,Popelka,Čtení,1
4.5.,Jasoň,Tělocvik,1
23.3.,Bob,Zeměpis,3
19.4.,Jerry,Zpěv,2
22.3.,Zvonilka,Psaní,1
13.3.,Nemo,Psaní,2
3.6.,Jasoň,Čtení,1
3.4.,Pažout,Psaní,3
26.3.,Karkulka,Grafika,1
11.3.,Bobek,Psaní,3
25.3.,Potter,Zeměpis,1
13.2.,Jerry,Čtení,3
28.3.,Šebestová,Tělocvik,3
14.6.,Potter,Psaní,1
10.4.,Dlouhý,Matematika,1
9.4.,Potter,Psaní,1
28.2.,Fantomas,Programování,3
10.6.,Zvonilka,Programování,1
27.6.,Bobek,Tělocvik,1
20.5.,Fantomas,Zpěv,3
12.6.,Sněhurka,Psaní,1
24.3.,Krátkozraký,Tělocvik,2
11.3.,Zvonilka,Programování,2
14.5.,Krakonoš,Zeměpis,2
12.5.,Sněhurka,Tělocvik,1
15.5.,Horáček,Tělocvik,2
28.3.,Horáček,Matematika,5
18.5.,Krakonoš,Čtení,2
26.5.,Gump,Psaní,1
25.4.,Ferda,Matematika,2
24.6.,Ferda,Zeměpis,2
27.2.,Tom,Zpěv,2
10.6.,Ferda,Programování,1
26.2.,Pažout,Matematika,5
6.5.,Rusalka,Tělocvik,1
2.3.,Šebestová,Psaní,1
8.5.,Široký,Čtení,1
17.4.,Arabela,Matematika,1
18.5.,Tuček,Psaní,1
18.5.,Šlajs,Psaní,1
9.3.,Sněhurka,Psaní,1
22.6.,Jerry,Zpěv,3
7.4.,Bobek,Tělocvik,2
14.2.,Mach,Psaní,3
20.2.,Bob,Psaní,3
15.4.,Horáček,Čtení,3
24.6.,Dlouhý,Psaní,1
10.4.,Nemo,Zeměpis,1
26.2.,Krátkozraký,Matematika,3
21.6.,Nemo,Matematika,1
7.4.,Mach,Matematika,2
17.6.,Šebestová,Programování,1
22.3.,Potter,Tělocvik,1
7.5.,Mach,Programování,1
11.6.,Tuček,Čtení,1
11.6.,Šlajs,Čtení,1
12.3.,Krátkozraký,Tělocvik,2
9.2.,Šebestová,Psaní,3
11.5.,Krátkozraký,Psaní,1
6.2.,Široký,Matematika,1
27.3.,Nemo,Programování,1
27.2.,Nemo,Zeměpis,2
16.5.,Popelka,Psaní,1
9.3.,Sněhurka,Programování,1
23.6.,Tom,Zpěv,2
20.2.,Dlouhý,Grafika,2
2.4.,Drsoň,Matematika,3
24.6.,Horáček,Tělocvik,2
21.6.,Karkulka,Čtení,1
26.4.,Široký,Matematika,3
6.5.,Sněhurka,Grafika,1
5.6.,Ferda,Programování,1
3.5.,Široký,Tělocvik,1
3.2.,Jasoň,Matematika,1
12.4.,Tuček,Psaní,4
12.4.,Šlajs,Psaní,4
4.5.,Arabela,Zeměpis,1
25.5.,Arabela,Psaní,1
27.5.,Šebestová,Tělocvik,1
28.3.,Potter,Zpěv,1
4.3.,Ferda,Tělocvik,1
1.5.,Bob,Programování,3
6.3.,Šebestová,Tělocvik,1
22.3.,Ferda,Zeměpis,1
8.2.,Arabela,Psaní,1
12.6.,Fantomas,Psaní,2
19.5.,Mach,Psaní,1
23.5.,Popelka,Psaní,1
17.2.,Sněhurka,Čtení,1
19.3.,Rusalka,Zpěv,1
22.6.,Mach,Tělocvik,1
22.4.,Potter,Programování,1
24.6.,Sněhurka,Zpěv,1
12.6.,Šebestová,Grafika,2
24.6.,Potter,Tělocvik,1
7.3.,Široký,Psaní,1
25.3.,Fantomas,Tělocvik,2
16.4.,Nemo,Zpěv,3
23.4.,Bobek,Čtení,1
9.4.,Popelka,Zpěv,2
27.2.,Bobek,Grafika,1
21.5.,Tom,Matematika,3
5.4.,Rusalka,Zeměpis,1
28.6.,Pažout,Tělocvik,5
22.2.,Jasoň,Čtení,2
18.4.,Tuček,Programování,3
18.4.,Šlajs,Programování,3
27.5.,Popelka,Psaní,2
16.2.,Tuček,Zpěv,2
16.2.,Šlajs,Zpěv,2
22.2.,Mach,Čtení,1
9.3.,Bobek,Zpěv,1
27.3.,Tuček,Čtení,4
27.3.,Šlajs,Čtení,4
5.3.,Jasoň,Grafika,1
23.2.,Nemo,Matematika,1
7.5.,Zvonilka,Tělocvik,1
19.6.,Drsoň,Grafika,2
18.6.,Potter,Zeměpis,1
21.2.,Fantomas,Grafika,2
18.4.,Karkulka,Tělocvik,1
13.5.,Šebestová,Čtení,1
24.2.,Drsoň,Tělocvik,3
12.4.,Bobek,Čtení,3
9.5.,Gump,Čtení,2
7.5.,Bystrozraký,Zpěv,1
14.3.,Rusalka,Čtení,2
26.6.,Ferda,Zpěv,1
19.3.,Mach,Programování,1
1.5.,Sněhurka,Matematika,1
18.3.,Sněhurka,Tělocvik,1
27.4.,Jerry,Grafika,2
16.3.,Gump,Tělocvik,1
17.5.,Popelka,Matematika,1
10.6.,Krátkozraký,Zpěv,1
27.6.,Tuček,Grafika,4
27.6.,Šlajs,Grafika,4
25.4.,Šebestová,Tělocvik,2
19.2.,Jasoň,Zeměpis,1
5.3.,Gump,Grafika,3
6.3.,Sněhurka,Programování,1
15.3.,Gump,Zpěv,4
15.3.,Ferda,Matematika,2
17.4.,Arabela,Psaní,1
22.3.,Šebestová,Programování,1
19.5.,Ferda,Čtení,1
1.6.,Šebestová,Tělocvik,1
9.2.,Široký,Zpěv,2
10.4.,Tom,Čtení,3
19.2.,Potter,Grafika,1
2.4.,Fantomas,Grafika,4
18.5.,Jerry,Zpěv,1
11.3.,Bob,Programování,1
10.4.,Gump,Matematika,2
12.5.,Tuček,Psaní,1
12.5.,Šlajs,Psaní,1
23.3.,Šebestová,Tělocvik,2
10.2.,Bystrozraký,Matematika,1
21.4.,Dlouhý,Programování,1
3.6.,Krátkozraký,Psaní,2
25.5.,Fantomas,Zpěv,3
3.4.,Krakonoš,Tělocvik,1
27.2.,Ferda,Matematika,1
3.2.,Krakonoš,Zpěv,1
25.5.,Potter,Psaní,1
6.3.,Zvonilka,Programování,1
7.2.,Rumcasj,Zeměpis,2
21.4.,Drsoň,Grafika,1
1.6.,Široký,Programování,1
21.4.,Zvonilka,Tělocvik,1
1.3.,Rusalka,Zpěv,1
21.3.,Popelka,Matematika,1
3.6.,Popelka,Psaní,1
21.2.,Drsoň,Zpěv,2
25.6.,Bystrozraký,Programování,1
18.6.,Fantomas,Tělocvik,2
9.3.,Drsoň,Psaní,3
24.2.,Gump,Zeměpis,3
6.3.,Pažout,Matematika,5
26.4.,Jasoň,Programování,1
3.3.,Nemo,Programování,1
8.2.,Tuček,Psaní,3
8.2.,Šlajs,Psaní,3
17.2.,Horáček,Psaní,2
28.6.,Drsoň,Zpěv,2
19.3.,Gump,Programování,2
4.3.,Horáček,Zeměpis,1
5.5.,Gump,Matematika,3
14.3.,Gump,Čtení,3
16.6.,Mach,Zpěv,3
9.3.,Drsoň,Čtení,1
11.3.,Mach,Programování,2
13.3.,Mach,Programování,1
15.2.,Sněhurka,Zeměpis,1
17.4.,Karkulka,Programování,1
12.6.,Jerry,Zpěv,3
16.6.,Bystrozraký,Čtení,1
14.2.,Potter,Čtení,1
28.6.,Jerry,Programování,1
13.4.,Dlouhý,Zpěv,1
2.3.,Sněhurka,Psaní,1
15.3.,Pažout,Tělocvik,5
15.6.,Tom,Zeměpis,2
14.5.,Arabela,Tělocvik,2
28.5.,Pažout,Čtení,3
15.4.,Zvonilka,Zeměpis,1
27.5.,Arabela,Tělocvik,2
24.2.,Karkulka,Zpěv,1
12.4.,Fantomas,Zpěv,3
24.6.,Bystrozraký,Zeměpis,1
17.3.,Široký,Matematika,2
13.2.,Jasoň,Čtení,1
28.3.,Široký,Čtení,1
20.4.,Tom,Tělocvik,2
20.2.,Široký,Psaní,1
27.2.,Nemo,Psaní,1
5.6.,Bobek,Psaní,2
6.4.,Mach,Čtení,1
22.6.,Široký,Zpěv,2
5.6.,Nemo,Tělocvik,1
4.3.,Rumcasj,Psaní,1
3.6.,Jasoň,Zeměpis,1
2.6.,Rusalka,Zpěv,1
22.6.,Šebestová,Matematika,2
25.4.,Fantomas,Zpěv,1
14.4.,Fantomas,Čtení,1
19.4.,Popelka,Psaní,1
19.4.,Jasoň,Zeměpis,1
28.2.,Popelka,Psaní,2
6.4.,Tuček,Grafika,1
6.4.,Šlajs,Grafika,1
1.6.,Tuček,Programování,3
1.6.,Šlajs,Programování,3
14.6.,Potter,Matematika,1
23.2.,Krátkozraký,Programování,1
12.5.,Drsoň,Grafika,1
11.3.,Dlouhý,Grafika,1
20.6.,Tom,Zpěv,1
9.6.,Široký,Programování,1
18.6.,Arabela,Psaní,1
10.6.,Potter,Psaní,1
12.2.,Pažout,Čtení,2
28.4.,Krakonoš,Tělocvik,1
7.4.,Krakonoš,Tělocvik,1
24.4.,Tom,Matematika,3
7.5.,Rumcasj,Čtení,3
11.2.,Jerry,Psaní,2
15.3.,Tuček,Zeměpis,4
15.3.,Šlajs,Zeměpis,4
24.6.,Ferda,Psaní,1
5.5.,Tom,Čtení,3
24.2.,Tom,Zpěv,2
5.5.,Bob,Tělocvik,2
13.5.,Rusalka,Čtení,2
28.2.,Popelka,Programování,2
12.2.,Gump,Tělocvik,2
5.4.,Fantomas,Zeměpis,1
28.2.,Bob,Grafika,4
24.6.,Karkulka,Zpěv,1
28.3.,Popelka,Zeměpis,1
27.2.,Mach,Tělocvik,1
14.5.,Jasoň,Matematika,1
18.6.,Krakonoš,Matematika,1
17.2.,Tom,Zeměpis,2
15.5.,Popelka,Čtení,2
12.2.,Bobek,Čtení,2
1.5.,Arabela,Zeměpis,2
11.6.,Zvonilka,Tělocvik,1
18.3.,Jasoň,Zpěv,1
12.2.,Krátkozraký,Psaní,2
25.4.,Dlouhý,Programování,1
26.4.,Jerry,Grafika,1
22.2.,Bob,Programování,3
12.2.,Šebestová,Matematika,1
3.2.,Drsoň,Tělocvik,2
7.3.,Nemo,Matematika,1
28.4.,Drsoň,Zeměpis,1
17.2.,Arabela,Programování,1
7.5.,Pažout,Programování,2
18.3.,Horáček,Programování,2
21.5.,Mach,Zeměpis,3
4.6.,Bob,Matematika,1
8.5.,Zvonilka,Zeměpis,1
19.6.,Arabela,Čtení,1
13.6.,Potter,Psaní,1
19.2.,Šebestová,Čtení,3
8.5.,Dlouhý,Čtení,1
26.6.,Šebestová,Matematika,1
18.6.,Jerry,Programování,2
21.6.,Tom,Zeměpis,3
8.4.,Arabela,Tělocvik,1
13.4.,Fantomas,Programování,1
11.2.,Široký,Grafika,2
22.4.,Pažout,Programování,4
17.4.,Šebestová,Zeměpis,1
15.5.,Jasoň,Zpěv,1
8.3.,Ferda,Programování,1
8.2.,Fantomas,Programování,2
26.2.,Rusalka,Psaní,1
9.2.,Mach,Psaní,1
2.3.,Bystrozraký,Grafika,1
4.5.,Zvonilka,Tělocvik,1
10.4.,Rusalka,Zpěv,1
8.3.,Jasoň,Zeměpis,1
11.5.,Tuček,Čtení,1
11.5.,Šlajs,Čtení,1
28.4.,Šebestová,Tělocvik,1
9.4.,Sněhurka,Čtení,1
22.2.,Karkulka,Zeměpis,1
19.4.,Mach,Zpěv,1
25.5.,Gump,Matematika,2
8.6.,Mach,Tělocvik,3
27.5.,Potter,Zpěv,1
27.5.,Pažout,Grafika,3
13.2.,Jasoň,Psaní,2
28.6.,Gump,Grafika,1
13.5.,Bobek,Zeměpis,1
12.3.,Zvonilka,Tělocvik,1
8.3.,Nemo,Zpěv,1
5.6.,Tom,Zpěv,1
8.6.,Krakonoš,Zeměpis,1
26.4.,Krakonoš,Čtení,2
4.6.,Bystrozraký,Zpěv,1
21.2.,Fantomas,Grafika,2
19.3.,Horáček,Matematika,4
4.3.,Rumcasj,Programování,3
6.5.,Tuček,Zeměpis,2
6.5.,Šlajs,Zeměpis,2
23.5.,Krátkozraký,Matematika,1
2.6.,Tuček,Čtení,4
2.6.,Šlajs,Čtení,4
27.5.,Horáček,Programování,5
12.4.,Bob,Psaní,1
8.3.,Pažout,Zpěv,5
5.5.,Sněhurka,Zpěv,1
7.6.,Tom,Zpěv,3
5.4.,Bobek,Programování,1
2.4.,Dlouhý,Tělocvik,2
18.3.,Drsoň,Matematika,2
8.3.,Fantomas,Zeměpis,3
5.6.,Dlouhý,Grafika,3
19.2.,Krátkozraký,Čtení,1
18.4.,Rumcasj,Psaní,1
9.6.,Rumcasj,Psaní,2
9.4.,Tuček,Grafika,1
9.4.,Šlajs,Grafika,1
26.6.,Rusalka,Čtení,2
15.5.,Drsoň,Psaní,2
27.3.,Ferda,Programování,1
22.6.,Bobek,Čtení,1
15.3.,Bobek,Zpěv,2
21.3.,Potter,Čtení,1
22.6.,Nemo,Zpěv,1
6.5.,Rumcasj,Psaní,3
19.6.,Sněhurka,Zeměpis,1
19.6.,Rumcasj,Zeměpis,1
21.6.,Rumcasj,Matematika,1
28.5.,Nemo,Zpěv,1
16.5.,Potter,Psaní,1
8.3.,Bobek,Tělocvik,1
20.6.,Nemo,Programování,1
26.2.,Šebestová,Psaní,2
14.5.,Jasoň,Tělocvik,1
17.3.,Tom,Čtení,1
16.5.,Jasoň,Zpěv,1
17.6.,Bobek,Čtení,2
1.3.,Nemo,Programování,1
16.5.,Popelka,Zeměpis,1
27.3.,Horáček,Psaní,1
16.2.,Sněhurka,Tělocvik,1
13.3.,Tuček,Zeměpis,3
13.3.,Šlajs,Zeměpis,3
10.4.,Dlouhý,Programování,1
25.5.,Šebestová,Zpěv,3
19.2.,Široký,Grafika,3
13.4.,Široký,Psaní,1
7.5.,Potter,Grafika,1
19.4.,Nemo,Zpěv,2
6.2.,Pažout,Zpěv,4
5.4.,Bobek,Psaní,1
28.6.,Popelka,Matematika,1
14.4.,Potter,Psaní,1
22.5.,Zvonilka,Programování,1
13.4.,Jasoň,Matematika,1
23.4.,Tom,Čtení,2
24.3.,Bob,Čtení,2
21.6.,Arabela,Zeměpis,1
4.6.,Tuček,Zeměpis,2
4.6.,Šlajs,Zeměpis,2
23.5.,Popelka,Grafika,1
21.5.,Jasoň,Čtení,1
9.3.,Krátkozraký,Tělocvik,1
21.5.,Arabela,Čtení,1
25.2.,Ferda,Matematika,1
11.6.,Dlouhý,Tělocvik,3
7.2.,Jasoň,Čtení,1
18.3.,Dlouhý,Zeměpis,1
2.2.,Krakonoš,Čtení,1
28.3.,Nemo,Zpěv,3
15.6.,Zvonilka,Psaní,2
23.6.,Popelka,Grafika,2
24.6.,Bystrozraký,Matematika,2
17.6.,Bobek,Grafika,1
16.3.,Ferda,Zeměpis,2
19.3.,Jerry,Zpěv,1
28.3.,Rusalka,Čtení,1
25.5.,Šebestová,Tělocvik,2
18.6.,Široký,Tělocvik,1
8.2.,Potter,Psaní,1
5.3.,Mach,Psaní,1
17.2.,Jerry,Čtení,2
1.5.,Bystrozraký,Zpěv,1
4.6.,Rusalka,Zeměpis,1
4.6.,Krátkozraký,Tělocvik,1
10.4.,Tom,Matematika,2
14.2.,Ferda,Psaní,1
27.4.,Fantomas,Psaní,2
12.5.,Drsoň,Tělocvik,2
14.3.,Horáček,Zpěv,4
19.3.,Potter,Psaní,1
13.5.,Fantomas,Matematika,2
25.2.,Fantomas,Zeměpis,2
11.3.,Mach,Zpěv,1
23.6.,Sněhurka,Grafika,1
3.2.,Bobek,Psaní,2
27.5.,Dlouhý,Psaní,1
3.3.,Mach,Tělocvik,1
11.6.,Fantomas,Čtení,2
25.6.,Potter,Čtení,1
7.6.,Bystrozraký,Zpěv,2
15.6.,Tuček,Psaní,4
15.6.,Šlajs,Psaní,4
20.3.,Krakonoš,Zeměpis,2
8.3.,Karkulka,Zeměpis,1
24.5.,Krátkozraký,Programování,2
8.5.,Jerry,Grafika,2
20.6.,Mach,Zeměpis,2
28.4.,Nemo,Grafika,3
28.2.,Horáček,Grafika,5
24.2.,Bystrozraký,Zpěv,2
25.4.,Bystrozraký,Zpěv,1
17.5.,Jerry,Zeměpis,1
14.5.,Horáček,Zpěv,1
1.6.,Krakonoš,Matematika,1
7.2.,Horáček,Grafika,5
15.3.,Mach,Programování,1
26.5.,Potter,Zpěv,1
6.3.,Krátkozraký,Grafika,1
23.4.,Jerry,Zpěv,3
28.4.,Pažout,Grafika,5
4.4.,Fantomas,Zeměpis,3
18.3.,Dlouhý,Čtení,2
20.6.,Horáček,Tělocvik,4
20.3.,Popelka,Tělocvik,2
4.5.,Široký,Zpěv,1
25.2.,Krakonoš,Programování,2
28.3.,Široký,Zpěv,1
27.3.,Ferda,Čtení,1
13.3.,Bob,Zpěv,2
18.6.,Karkulka,Programování,1
27.5.,Gump,Grafika,2
20.3.,Tom,Čtení,3
9.4.,Potter,Matematika,1
11.3.,Bobek,Matematika,1
5.5.,Potter,Programování,1
1.3.,Gump,Programování,4
5.4.,Tuček,Programování,3
5.4.,Šlajs,Programování,3
20.5.,Dlouhý,Zeměpis,3
1.3.,Zvonilka,Čtení,2
24.2.,Karkulka,Matematika,1
22.5.,Fantomas,Čtení,3
23.3.,Rusalka,Čtení,1
21.2.,Zvonilka,Tělocvik,1
16.3.,Arabela,Programování,2
21.5.,Široký,Čtení,2
14.4.,Nemo,Zeměpis,1
9.4.,Karkulka,Psaní,1
20.6.,Tom,Čtení,3
21.6.,Horáček,Grafika,1
4.2.,Jerry,Zeměpis,2
16.3.,Rumcasj,Programování,1
19.4.,Arabela,Tělocvik,2
28.4.,Zvonilka,Zpěv,1
28.2.,Drsoň,Čtení,1
16.2.,Mach,Matematika,3
20.4.,Dlouhý,Psaní,1
15.2.,Arabela,Programování,1
2.3.,Rusalka,Matematika,1
24.6.,Karkulka,Zeměpis,1
4.4.,Horáček,Grafika,4
20.4.,Nemo,Matematika,2
9.2.,Krátkozraký,Čtení,1
19.6.,Karkulka,Tělocvik,1
24.4.,Sněhurka,Čtení,1
11.4.,Drsoň,Tělocvik,3
22.2.,Krátkozraký,Programování,1
25.4.,Krátkozraký,Matematika,2
17.2.,Krátkozraký,Zeměpis,1
3.6.,Bob,Zpěv,1
6.4.,Nemo,Čtení,1
6.4.,Jasoň,Tělocvik,1
27.6.,Pažout,Psaní,5
25.4.,Zvonilka,Grafika,1
17.4.,Fantomas,Čtení,2
17.5.,Rumcasj,Psaní,3
12.6.,Zvonilka,Grafika,1
14.5.,Krakonoš,Psaní,2
9.6.,Jasoň,Čtení,1
10.2.,Ferda,Matematika,2
25.4.,Drsoň,Tělocvik,3
25.2.,Nemo,Tělocvik,3
1.4.,Drsoň,Grafika,2
15.2.,Tuček,Zpěv,1
15.2.,Šlajs,Zpěv,1
25.4.,Potter,Zpěv,1
19.6.,Pažout,Programování,4
12.4.,Pažout,Tělocvik,5
15.6.,Tom,Zeměpis,3
1.3.,Krátkozraký,Programování,1
12.2.,Tuček,Zeměpis,3
12.2.,Šlajs,Zeměpis,3
4.3.,Zvonilka,Zpěv,1
15.2.,Jerry,Grafika,2
4.6.,Horáček,Matematika,2
23.4.,Bob,Programování,1
8.4.,Tuček,Tělocvik,2
8.4.,Šlajs,Tělocvik,2
13.5.,Potter,Matematika,1
21.2.,Bob,Programování,3
2.2.,Nemo,Čtení,1
6.2.,Šebestová,Tělocvik,1
20.6.,Široký,Čtení,2
22.2.,Jasoň,Zeměpis,2
8.5.,Ferda,Programování,1
11.2.,Bob,Čtení,2
8.3.,Karkulka,Zpěv,1
9.5.,Pažout,Programování,5
13.2.,Jerry,Programování,2
26.6.,Sněhurka,Čtení,1
7.3.,Pažout,Čtení,2
21.4.,Arabela,Zeměpis,1
9.5.,Karkulka,Programování,1
5.6.,Bystrozraký,Matematika,3
19.5.,Fantomas,Zeměpis,4
23.2.,Bystrozraký,Grafika,2
22.6.,Tom,Grafika,3
15.3.,Sněhurka,Programování,1
27.5.,Mach,Psaní,3
13.5.,Ferda,Matematika,1
20.5.,Jasoň,Psaní,1
9.5.,Popelka,Programování,1
16.5.,Karkulka,Psaní,1
5.3.,Šebestová,Zeměpis,2
22.4.,Šebestová,Matematika,2
15.2.,Tom,Zpěv,3
22.6.,Potter,Matematika,1
15.6.,Dlouhý,Čtení,1
13.2.,Jasoň,Tělocvik,2
27.6.,Jasoň,Psaní,2
19.2.,Potter,Programování,1
7.4.,Pažout,Matematika,5
23.4.,Široký,Tělocvik,2
